# fluent definitions for robot example
PREFIX robot: <http://www.semanticweb.org/anon/ontologies/2021/3/>

OBJECT thing robot  -> robot:robot

PREDICATE AboveOf0(thing)  -> robot:AboveOf0
PREDICATE AboveOf1(thing)  -> robot:AboveOf1
PREDICATE AboveOf10(thing)  -> robot:AboveOf10
PREDICATE AboveOf11(thing)  -> robot:AboveOf11
PREDICATE AboveOf12(thing)  -> robot:AboveOf12
PREDICATE AboveOf13(thing)  -> robot:AboveOf13
PREDICATE AboveOf14(thing)  -> robot:AboveOf14
PREDICATE AboveOf2(thing)  -> robot:AboveOf2
PREDICATE AboveOf3(thing)  -> robot:AboveOf3
PREDICATE AboveOf4(thing)  -> robot:AboveOf4
PREDICATE AboveOf5(thing)  -> robot:AboveOf5
PREDICATE AboveOf6(thing)  -> robot:AboveOf6
PREDICATE AboveOf7(thing)  -> robot:AboveOf7
PREDICATE AboveOf8(thing)  -> robot:AboveOf8
PREDICATE AboveOf9(thing)  -> robot:AboveOf9
PREDICATE BelowOf1(thing)  -> robot:BelowOf1
PREDICATE BelowOf10(thing)  -> robot:BelowOf10
PREDICATE BelowOf11(thing)  -> robot:BelowOf11
PREDICATE BelowOf12(thing)  -> robot:BelowOf12
PREDICATE BelowOf13(thing)  -> robot:BelowOf13
PREDICATE BelowOf14(thing)  -> robot:BelowOf14
PREDICATE BelowOf15(thing)  -> robot:BelowOf15
PREDICATE BelowOf2(thing)  -> robot:BelowOf2
PREDICATE BelowOf3(thing)  -> robot:BelowOf3
PREDICATE BelowOf4(thing)  -> robot:BelowOf4
PREDICATE BelowOf5(thing)  -> robot:BelowOf5
PREDICATE BelowOf6(thing)  -> robot:BelowOf6
PREDICATE BelowOf7(thing)  -> robot:BelowOf7
PREDICATE BelowOf8(thing)  -> robot:BelowOf8
PREDICATE BelowOf9(thing)  -> robot:BelowOf9
PREDICATE Column0(thing)  -> robot:Column0
PREDICATE Column1(thing)  -> robot:Column1
PREDICATE Column10(thing)  -> robot:Column10
PREDICATE Column11(thing)  -> robot:Column11
PREDICATE Column12(thing)  -> robot:Column12
PREDICATE Column13(thing)  -> robot:Column13
PREDICATE Column14(thing)  -> robot:Column14
PREDICATE Column2(thing)  -> robot:Column2
PREDICATE Column3(thing)  -> robot:Column3
PREDICATE Column4(thing)  -> robot:Column4
PREDICATE Column5(thing)  -> robot:Column5
PREDICATE Column6(thing)  -> robot:Column6
PREDICATE Column7(thing)  -> robot:Column7
PREDICATE Column8(thing)  -> robot:Column8
PREDICATE Column9(thing)  -> robot:Column9
PREDICATE Columns(thing)  -> robot:Columns
PREDICATE LeftOf1(thing)  -> robot:LeftOf1
PREDICATE LeftOf10(thing)  -> robot:LeftOf10
PREDICATE LeftOf11(thing)  -> robot:LeftOf11
PREDICATE LeftOf12(thing)  -> robot:LeftOf12
PREDICATE LeftOf13(thing)  -> robot:LeftOf13
PREDICATE LeftOf14(thing)  -> robot:LeftOf14
PREDICATE LeftOf15(thing)  -> robot:LeftOf15
PREDICATE LeftOf2(thing)  -> robot:LeftOf2
PREDICATE LeftOf3(thing)  -> robot:LeftOf3
PREDICATE LeftOf4(thing)  -> robot:LeftOf4
PREDICATE LeftOf5(thing)  -> robot:LeftOf5
PREDICATE LeftOf6(thing)  -> robot:LeftOf6
PREDICATE LeftOf7(thing)  -> robot:LeftOf7
PREDICATE LeftOf8(thing)  -> robot:LeftOf8
PREDICATE LeftOf9(thing)  -> robot:LeftOf9
PREDICATE RightOf0(thing)  -> robot:RightOf0
PREDICATE RightOf1(thing)  -> robot:RightOf1
PREDICATE RightOf10(thing)  -> robot:RightOf10
PREDICATE RightOf11(thing)  -> robot:RightOf11
PREDICATE RightOf12(thing)  -> robot:RightOf12
PREDICATE RightOf13(thing)  -> robot:RightOf13
PREDICATE RightOf14(thing)  -> robot:RightOf14
PREDICATE RightOf2(thing)  -> robot:RightOf2
PREDICATE RightOf3(thing)  -> robot:RightOf3
PREDICATE RightOf4(thing)  -> robot:RightOf4
PREDICATE RightOf5(thing)  -> robot:RightOf5
PREDICATE RightOf6(thing)  -> robot:RightOf6
PREDICATE RightOf7(thing)  -> robot:RightOf7
PREDICATE RightOf8(thing)  -> robot:RightOf8
PREDICATE RightOf9(thing)  -> robot:RightOf9
PREDICATE Row0(thing)  -> robot:Row0
PREDICATE Row1(thing)  -> robot:Row1
PREDICATE Row10(thing)  -> robot:Row10
PREDICATE Row11(thing)  -> robot:Row11
PREDICATE Row12(thing)  -> robot:Row12
PREDICATE Row13(thing)  -> robot:Row13
PREDICATE Row14(thing)  -> robot:Row14
PREDICATE Row2(thing)  -> robot:Row2
PREDICATE Row3(thing)  -> robot:Row3
PREDICATE Row4(thing)  -> robot:Row4
PREDICATE Row5(thing)  -> robot:Row5
PREDICATE Row6(thing)  -> robot:Row6
PREDICATE Row7(thing)  -> robot:Row7
PREDICATE Row8(thing)  -> robot:Row8
PREDICATE Row9(thing)  -> robot:Row9
PREDICATE Rows(thing)  -> robot:Rows
