# fluent definitions for robot example
PREFIX robot: <http://www.semanticweb.org/anon/ontologies/2021/3/>

OBJECT thing robot  -> robot:robot

PREDICATE AboveOf0(thing)  -> robot:AboveOf0
PREDICATE AboveOf1(thing)  -> robot:AboveOf1
PREDICATE AboveOf2(thing)  -> robot:AboveOf2
PREDICATE AboveOf3(thing)  -> robot:AboveOf3
PREDICATE AboveOf4(thing)  -> robot:AboveOf4
PREDICATE AboveOf5(thing)  -> robot:AboveOf5
PREDICATE AboveOf6(thing)  -> robot:AboveOf6
PREDICATE AboveOf7(thing)  -> robot:AboveOf7
PREDICATE BelowOf1(thing)  -> robot:BelowOf1
PREDICATE BelowOf2(thing)  -> robot:BelowOf2
PREDICATE BelowOf3(thing)  -> robot:BelowOf3
PREDICATE BelowOf4(thing)  -> robot:BelowOf4
PREDICATE BelowOf5(thing)  -> robot:BelowOf5
PREDICATE BelowOf6(thing)  -> robot:BelowOf6
PREDICATE BelowOf7(thing)  -> robot:BelowOf7
PREDICATE BelowOf8(thing)  -> robot:BelowOf8
PREDICATE Column0(thing)  -> robot:Column0
PREDICATE Column1(thing)  -> robot:Column1
PREDICATE Column2(thing)  -> robot:Column2
PREDICATE Column3(thing)  -> robot:Column3
PREDICATE Column4(thing)  -> robot:Column4
PREDICATE Column5(thing)  -> robot:Column5
PREDICATE Column6(thing)  -> robot:Column6
PREDICATE Column7(thing)  -> robot:Column7
PREDICATE Columns(thing)  -> robot:Columns
PREDICATE LeftOf1(thing)  -> robot:LeftOf1
PREDICATE LeftOf2(thing)  -> robot:LeftOf2
PREDICATE LeftOf3(thing)  -> robot:LeftOf3
PREDICATE LeftOf4(thing)  -> robot:LeftOf4
PREDICATE LeftOf5(thing)  -> robot:LeftOf5
PREDICATE LeftOf6(thing)  -> robot:LeftOf6
PREDICATE LeftOf7(thing)  -> robot:LeftOf7
PREDICATE LeftOf8(thing)  -> robot:LeftOf8
PREDICATE RightOf0(thing)  -> robot:RightOf0
PREDICATE RightOf1(thing)  -> robot:RightOf1
PREDICATE RightOf2(thing)  -> robot:RightOf2
PREDICATE RightOf3(thing)  -> robot:RightOf3
PREDICATE RightOf4(thing)  -> robot:RightOf4
PREDICATE RightOf5(thing)  -> robot:RightOf5
PREDICATE RightOf6(thing)  -> robot:RightOf6
PREDICATE RightOf7(thing)  -> robot:RightOf7
PREDICATE Row0(thing)  -> robot:Row0
PREDICATE Row1(thing)  -> robot:Row1
PREDICATE Row2(thing)  -> robot:Row2
PREDICATE Row3(thing)  -> robot:Row3
PREDICATE Row4(thing)  -> robot:Row4
PREDICATE Row5(thing)  -> robot:Row5
PREDICATE Row6(thing)  -> robot:Row6
PREDICATE Row7(thing)  -> robot:Row7
PREDICATE Rows(thing)  -> robot:Rows
