# fluent definitions for robot example
PREFIX robot: <http://www.semanticweb.org/anon/ontologies/2021/3/>

OBJECT thing robot  -> robot:robot

PREDICATE AboveOf0(thing)  -> robot:AboveOf0
PREDICATE AboveOf1(thing)  -> robot:AboveOf1
PREDICATE AboveOf2(thing)  -> robot:AboveOf2
PREDICATE AboveOf3(thing)  -> robot:AboveOf3
PREDICATE AboveOf4(thing)  -> robot:AboveOf4
PREDICATE BelowOf1(thing)  -> robot:BelowOf1
PREDICATE BelowOf2(thing)  -> robot:BelowOf2
PREDICATE BelowOf3(thing)  -> robot:BelowOf3
PREDICATE BelowOf4(thing)  -> robot:BelowOf4
PREDICATE BelowOf5(thing)  -> robot:BelowOf5
PREDICATE Column0(thing)  -> robot:Column0
PREDICATE Column1(thing)  -> robot:Column1
PREDICATE Column2(thing)  -> robot:Column2
PREDICATE Column3(thing)  -> robot:Column3
PREDICATE Column4(thing)  -> robot:Column4
PREDICATE Columns(thing)  -> robot:Columns
PREDICATE LeftOf1(thing)  -> robot:LeftOf1
PREDICATE LeftOf2(thing)  -> robot:LeftOf2
PREDICATE LeftOf3(thing)  -> robot:LeftOf3
PREDICATE LeftOf4(thing)  -> robot:LeftOf4
PREDICATE LeftOf5(thing)  -> robot:LeftOf5
PREDICATE RightOf0(thing)  -> robot:RightOf0
PREDICATE RightOf1(thing)  -> robot:RightOf1
PREDICATE RightOf2(thing)  -> robot:RightOf2
PREDICATE RightOf3(thing)  -> robot:RightOf3
PREDICATE RightOf4(thing)  -> robot:RightOf4
PREDICATE Row0(thing)  -> robot:Row0
PREDICATE Row1(thing)  -> robot:Row1
PREDICATE Row2(thing)  -> robot:Row2
PREDICATE Row3(thing)  -> robot:Row3
PREDICATE Row4(thing)  -> robot:Row4
PREDICATE Rows(thing)  -> robot:Rows
