# fluent definitions for robot example
PREFIX robot: <http://www.semanticweb.org/anon/ontologies/2021/3/>

OBJECT thing robot  -> robot:robot

PREDICATE AboveOf0(thing)  -> robot:AboveOf0
PREDICATE AboveOf1(thing)  -> robot:AboveOf1
PREDICATE AboveOf10(thing)  -> robot:AboveOf10
PREDICATE AboveOf11(thing)  -> robot:AboveOf11
PREDICATE AboveOf12(thing)  -> robot:AboveOf12
PREDICATE AboveOf13(thing)  -> robot:AboveOf13
PREDICATE AboveOf14(thing)  -> robot:AboveOf14
PREDICATE AboveOf15(thing)  -> robot:AboveOf15
PREDICATE AboveOf16(thing)  -> robot:AboveOf16
PREDICATE AboveOf17(thing)  -> robot:AboveOf17
PREDICATE AboveOf18(thing)  -> robot:AboveOf18
PREDICATE AboveOf19(thing)  -> robot:AboveOf19
PREDICATE AboveOf2(thing)  -> robot:AboveOf2
PREDICATE AboveOf20(thing)  -> robot:AboveOf20
PREDICATE AboveOf21(thing)  -> robot:AboveOf21
PREDICATE AboveOf22(thing)  -> robot:AboveOf22
PREDICATE AboveOf23(thing)  -> robot:AboveOf23
PREDICATE AboveOf24(thing)  -> robot:AboveOf24
PREDICATE AboveOf25(thing)  -> robot:AboveOf25
PREDICATE AboveOf26(thing)  -> robot:AboveOf26
PREDICATE AboveOf27(thing)  -> robot:AboveOf27
PREDICATE AboveOf28(thing)  -> robot:AboveOf28
PREDICATE AboveOf29(thing)  -> robot:AboveOf29
PREDICATE AboveOf3(thing)  -> robot:AboveOf3
PREDICATE AboveOf30(thing)  -> robot:AboveOf30
PREDICATE AboveOf31(thing)  -> robot:AboveOf31
PREDICATE AboveOf32(thing)  -> robot:AboveOf32
PREDICATE AboveOf33(thing)  -> robot:AboveOf33
PREDICATE AboveOf34(thing)  -> robot:AboveOf34
PREDICATE AboveOf35(thing)  -> robot:AboveOf35
PREDICATE AboveOf36(thing)  -> robot:AboveOf36
PREDICATE AboveOf37(thing)  -> robot:AboveOf37
PREDICATE AboveOf38(thing)  -> robot:AboveOf38
PREDICATE AboveOf39(thing)  -> robot:AboveOf39
PREDICATE AboveOf4(thing)  -> robot:AboveOf4
PREDICATE AboveOf40(thing)  -> robot:AboveOf40
PREDICATE AboveOf41(thing)  -> robot:AboveOf41
PREDICATE AboveOf42(thing)  -> robot:AboveOf42
PREDICATE AboveOf43(thing)  -> robot:AboveOf43
PREDICATE AboveOf44(thing)  -> robot:AboveOf44
PREDICATE AboveOf45(thing)  -> robot:AboveOf45
PREDICATE AboveOf46(thing)  -> robot:AboveOf46
PREDICATE AboveOf47(thing)  -> robot:AboveOf47
PREDICATE AboveOf48(thing)  -> robot:AboveOf48
PREDICATE AboveOf49(thing)  -> robot:AboveOf49
PREDICATE AboveOf5(thing)  -> robot:AboveOf5
PREDICATE AboveOf50(thing)  -> robot:AboveOf50
PREDICATE AboveOf51(thing)  -> robot:AboveOf51
PREDICATE AboveOf52(thing)  -> robot:AboveOf52
PREDICATE AboveOf53(thing)  -> robot:AboveOf53
PREDICATE AboveOf54(thing)  -> robot:AboveOf54
PREDICATE AboveOf55(thing)  -> robot:AboveOf55
PREDICATE AboveOf56(thing)  -> robot:AboveOf56
PREDICATE AboveOf57(thing)  -> robot:AboveOf57
PREDICATE AboveOf58(thing)  -> robot:AboveOf58
PREDICATE AboveOf59(thing)  -> robot:AboveOf59
PREDICATE AboveOf6(thing)  -> robot:AboveOf6
PREDICATE AboveOf60(thing)  -> robot:AboveOf60
PREDICATE AboveOf61(thing)  -> robot:AboveOf61
PREDICATE AboveOf62(thing)  -> robot:AboveOf62
PREDICATE AboveOf63(thing)  -> robot:AboveOf63
PREDICATE AboveOf64(thing)  -> robot:AboveOf64
PREDICATE AboveOf65(thing)  -> robot:AboveOf65
PREDICATE AboveOf66(thing)  -> robot:AboveOf66
